Game_pk,date,Park
718707,4/4/2023,Oakland Coliseum
718717,4/4/2023,Petco Park
718708,4/4/2023,Kauffman Stadium
718712,4/4/2023,American Family Field
718716,4/4/2023,Great American Ball Park
718714,4/4/2023,loanDepot park
718711,4/4/2023,Busch Stadium
718713,4/4/2023,Fenway Park
718694,4/5/2023,Globe Life Field
718696,4/5/2023,Minute Maid Park
718699,4/5/2023,Yankee Stadium
718702,4/5/2023,Fenway Park
718700,4/5/2023,Great American Ball Park
718689,4/5/2023,Oakland Coliseum
718691,4/5/2023,T-Mobile Park
718692,4/5/2023,Kauffman Stadium
718698,4/5/2023,American Family Field
718704,4/5/2023,Nationals Park
718695,4/5/2023,Guaranteed Rate Field
718701,4/5/2023,loanDepot park
718697,4/5/2023,Busch Stadium
718686,4/6/2023,Kauffman Stadium
718685,4/6/2023,Citizens Bank Park
718684,4/6/2023,Target Field
718687,4/6/2023,Guaranteed Rate Field
718682,4/6/2023,Coors Field
718690,4/6/2023,Comerica Park
718683,4/6/2023,Chase Field
718681,4/6/2023,Truist Park
718693,4/6/2023,Citi Field
718688,4/6/2023,Oriole Park at Camden Yards
718693,4/7/2023,Citi Field
718677,4/7/2023,Progressive Field
718679,4/7/2023,PNC Park
718684,4/7/2023,Target Field
718674,4/7/2023,American Family Field
718673,4/7/2023,Coors Field
718676,4/7/2023,Truist Park
718688,4/7/2023,Oriole Park at Camden Yards
718671,4/7/2023,Chase Field
718678,4/7/2023,Tropicana Field
718685,4/7/2023,Citizens Bank Park
718675,4/7/2023,Wrigley Field
718670,4/7/2023,Angel Stadium
718680,4/7/2023,Oracle Park
718668,4/8/2023,Citizens Bank Park
718665,4/8/2023,Tropicana Field
718658,4/8/2023,Coors Field
718663,4/8/2023,Progressive Field
718661,4/8/2023,Citi Field
718659,4/8/2023,Truist Park
718666,4/8/2023,Target Field
718657,4/8/2023,Angel Stadium
718669,4/8/2023,Wrigley Field
718660,4/8/2023,American Family Field
718656,4/8/2023,Chase Field
718672,4/8/2023,Oracle Park
718664,4/8/2023,Oriole Park at Camden Yards
718662,4/8/2023,PNC Park
718667,4/8/2023,Comerica Park
718642,4/9/2023,Wrigley Field
718647,4/9/2023,Citi Field
718645,4/9/2023,Coors Field
718639,4/9/2023,Chase Field
718643,4/9/2023,Oracle Park
718648,4/9/2023,Truist Park
718651,4/9/2023,Oriole Park at Camden Yards
718644,4/9/2023,Angel Stadium
718653,4/9/2023,PNC Park
718652,4/9/2023,Citizens Bank Park
718649,4/9/2023,Target Field
718650,4/9/2023,American Family Field
718646,4/9/2023,Progressive Field
718654,4/9/2023,Comerica Park
718655,4/9/2023,Tropicana Field
718640,4/10/2023,Target Field
718628,4/10/2023,Wrigley Field
718630,4/10/2023,Globe Life Field
718633,4/10/2023,Citizens Bank Park
718637,4/10/2023,Progressive Field
718629,4/10/2023,Coors Field
718634,4/10/2023,Citi Field
718627,4/10/2023,Chase Field
718638,4/10/2023,Tropicana Field
718636,4/10/2023,Truist Park
718632,4/10/2023,PNC Park
718635,4/10/2023,Oriole Park at Camden Yards
718631,4/10/2023,Angel Stadium
718641,4/10/2023,Oracle Park
718615,4/11/2023,Globe Life Field
718624,4/11/2023,Oracle Park
718623,4/11/2023,PNC Park
718617,4/11/2023,Wrigley Field
718621,4/11/2023,Citi Field
718619,4/11/2023,Citizens Bank Park
718626,4/11/2023,Progressive Field
718616,4/11/2023,Target Field
718622,4/11/2023,Rogers Centre
718620,4/11/2023,Truist Park
718611,4/11/2023,Chase Field
718618,4/11/2023,Oriole Park at Camden Yards
718614,4/11/2023,Angel Stadium
718613,4/11/2023,Coors Field
718625,4/11/2023,Tropicana Field
718598,4/12/2023,Chase Field
718595,4/12/2023,Globe Life Field
718608,4/12/2023,PNC Park
718602,4/12/2023,Angel Stadium
718605,4/12/2023,Target Field
718612,4/12/2023,Oracle Park
718603,4/12/2023,Rogers Centre
718601,4/12/2023,Truist Park
718606,4/12/2023,Wrigley Field
718610,4/12/2023,Citi Field
718600,4/12/2023,Tropicana Field
718599,4/12/2023,Oriole Park at Camden Yards
718609,4/12/2023,Citizens Bank Park
718607,4/12/2023,Coors Field
718604,4/12/2023,Progressive Field
718591,4/13/2023,Busch Stadium
718590,4/13/2023,Yankee Stadium
718589,4/13/2023,Petco Park
718593,4/13/2023,Rogers Centre
718596,4/13/2023,Oriole Park at Camden Yards
718594,4/13/2023,Tropicana Field
718597,4/13/2023,Great American Ball Park
718581,4/14/2023,Minute Maid Park
718575,4/14/2023,Dodger Stadium
718592,4/14/2023,Nationals Park
718578,4/14/2023,Oakland Coliseum
718585,4/14/2023,Comerica Park
718586,4/14/2023,Great American Ball Park
718587,4/14/2023,Rogers Centre
718583,4/14/2023,Guaranteed Rate Field
718584,4/14/2023,loanDepot park
718582,4/14/2023,Busch Stadium
718588,4/14/2023,Yankee Stadium
718577,4/14/2023,T-Mobile Park
718580,4/14/2023,Fenway Park
718574,4/14/2023,Petco Park
718579,4/14/2023,Kauffman Stadium
718562,4/15/2023,Minute Maid Park
718563,4/15/2023,Kauffman Stadium
718576,4/15/2023,Fenway Park
718567,4/15/2023,loanDepot park
718566,4/15/2023,Great American Ball Park
718569,4/15/2023,Rogers Centre
718561,4/15/2023,T-Mobile Park
718570,4/15/2023,Guaranteed Rate Field
718568,4/15/2023,Busch Stadium
718565,4/15/2023,Oakland Coliseum
718573,4/15/2023,Nationals Park
718571,4/15/2023,Comerica Park
718572,4/15/2023,Yankee Stadium
718560,4/15/2023,Petco Park
718564,4/15/2023,Dodger Stadium
718559,4/16/2023,Fenway Park
718552,4/16/2023,Minute Maid Park
718553,4/16/2023,Guaranteed Rate Field
718545,4/16/2023,T-Mobile Park
718558,4/16/2023,Comerica Park
718546,4/16/2023,Oakland Coliseum
718547,4/16/2023,Dodger Stadium
718548,4/16/2023,Busch Stadium
718551,4/16/2023,Kauffman Stadium
718549,4/16/2023,Petco Park
718556,4/16/2023,Rogers Centre
718550,4/16/2023,loanDepot park
718557,4/16/2023,Yankee Stadium
718555,4/16/2023,Nationals Park
718554,4/16/2023,Great American Ball Park
718540,4/17/2023,Fenway Park
718542,4/17/2023,Great American Ball Park
718544,4/17/2023,loanDepot park
718533,4/17/2023,Petco Park
718534,4/17/2023,T-Mobile Park
718543,4/17/2023,Guaranteed Rate Field
718541,4/17/2023,Comerica Park
718536,4/17/2023,Oakland Coliseum
718538,4/17/2023,Busch Stadium
718532,4/17/2023,Dodger Stadium
718537,4/17/2023,Minute Maid Park
718535,4/17/2023,Coors Field
718539,4/17/2023,Kauffman Stadium
718541,4/18/2023,Comerica Park
718522,4/18/2023,Kauffman Stadium
718531,4/18/2023,Nationals Park
718521,4/18/2023,Coors Field
718519,4/18/2023,Petco Park
718529,4/18/2023,Yankee Stadium
718526,4/18/2023,Great American Ball Park
718543,4/18/2023,Guaranteed Rate Field
718525,4/18/2023,Guaranteed Rate Field
718520,4/18/2023,Minute Maid Park
718517,4/18/2023,T-Mobile Park
718527,4/18/2023,Busch Stadium
718530,4/18/2023,Comerica Park
718523,4/18/2023,Oakland Coliseum
718528,4/18/2023,loanDepot park
718516,4/18/2023,Dodger Stadium
718524,4/18/2023,Fenway Park
718512,4/19/2023,Busch Stadium
718511,4/19/2023,loanDepot park
718505,4/19/2023,Fenway Park
718501,4/19/2023,Minute Maid Park
718502,4/19/2023,T-Mobile Park
718515,4/19/2023,Great American Ball Park
718508,4/19/2023,Dodger Stadium
718513,4/19/2023,Comerica Park
718507,4/19/2023,Petco Park
718510,4/19/2023,Guaranteed Rate Field
718506,4/19/2023,Oakland Coliseum
718514,4/19/2023,Kauffman Stadium
718504,4/19/2023,Yankee Stadium
718518,4/19/2023,Nationals Park
718509,4/19/2023,Coors Field
718500,4/20/2023,PNC Park
718494,4/20/2023,Chase Field
718497,4/20/2023,Fenway Park
718503,4/20/2023,Oracle Park
718499,4/20/2023,Wrigley Field
718496,4/20/2023,Yankee Stadium
718498,4/20/2023,Citizens Bank Park
718485,4/21/2023,Angel Stadium
718484,4/21/2023,Chase Field
718489,4/21/2023,Truist Park
718483,4/21/2023,American Family Field
718490,4/21/2023,Globe Life Field
718492,4/21/2023,PNC Park
718481,4/21/2023,T-Mobile Park
718488,4/21/2023,Progressive Field
718493,4/21/2023,Citizens Bank Park
718495,4/21/2023,Oriole Park at Camden Yards
718482,4/21/2023,Target Field
718486,4/21/2023,Tropicana Field
718491,4/21/2023,Wrigley Field
718487,4/21/2023,Yankee Stadium
718480,4/21/2023,Oracle Park
718477,4/22/2023,Tropicana Field
718478,4/22/2023,Oracle Park
718468,4/22/2023,Target Field
718479,4/22/2023,Wrigley Field
718470,4/22/2023,American Family Field
718466,4/22/2023,Angel Stadium
718469,4/22/2023,Globe Life Field
718471,4/22/2023,Truist Park
718464,4/22/2023,T-Mobile Park
718473,4/22/2023,Progressive Field
718472,4/22/2023,Oriole Park at Camden Yards
718476,4/22/2023,Yankee Stadium
718474,4/22/2023,PNC Park
718467,4/22/2023,Chase Field
718475,4/22/2023,Citizens Bank Park
718488,4/22/2023,Progressive Field
718459,4/23/2023,Oriole Park at Camden Yards
718450,4/23/2023,T-Mobile Park
718453,4/23/2023,Globe Life Field
718463,4/23/2023,PNC Park
718457,4/23/2023,Tropicana Field
718462,4/23/2023,Truist Park
718452,4/23/2023,Angel Stadium
718454,4/23/2023,Target Field
718455,4/23/2023,Oracle Park
718458,4/23/2023,Citizens Bank Park
718456,4/23/2023,Chase Field
718461,4/23/2023,American Family Field
718451,4/23/2023,Wrigley Field
718460,4/23/2023,Progressive Field
718465,4/23/2023,Yankee Stadium
718447,4/24/2023,Oriole Park at Camden Yards
718438,4/24/2023,Chase Field
718443,4/24/2023,Truist Park
718448,4/24/2023,Progressive Field
718442,4/24/2023,Target Field
718445,4/24/2023,Great American Ball Park
718444,4/24/2023,Rogers Centre
718441,4/24/2023,American Family Field
718437,4/24/2023,Angel Stadium
718446,4/24/2023,Oracle Park
718449,4/24/2023,Tropicana Field
718428,4/25/2023,American Family Field
718432,4/25/2023,PNC Park
718434,4/25/2023,Great American Ball Park
718425,4/25/2023,Angel Stadium
718435,4/25/2023,Oriole Park at Camden Yards
718427,4/25/2023,Target Field
718422,4/25/2023,Chase Field
718433,4/25/2023,Rogers Centre
718439,4/25/2023,Oracle Park
718431,4/25/2023,Citi Field
718440,4/25/2023,Progressive Field
718430,4/25/2023,Citizens Bank Park
718426,4/25/2023,Wrigley Field
718429,4/25/2023,Truist Park
718436,4/25/2023,Tropicana Field
718413,4/26/2023,PNC Park
718416,4/26/2023,Oriole Park at Camden Yards
718423,4/26/2023,Oracle Park
718418,4/26/2023,Chase Field
718415,4/26/2023,Citizens Bank Park
718414,4/26/2023,Tropicana Field
718420,4/26/2023,Rogers Centre
718417,4/26/2023,Target Field
718412,4/26/2023,Citi Field
718411,4/26/2023,Truist Park
718408,4/26/2023,Angel Stadium
718407,4/26/2023,Wrigley Field
718421,4/26/2023,Progressive Field
718419,4/26/2023,American Family Field
718424,4/26/2023,Great American Ball Park
718397,4/27/2023,Globe Life Field
718409,4/27/2023,Oracle Park
718406,4/27/2023,Wrigley Field
718396,4/27/2023,Guaranteed Rate Field
718410,4/27/2023,Truist Park
718400,4/27/2023,Target Field
718402,4/27/2023,Angel Stadium
718404,4/27/2023,Citizens Bank Park
718398,4/27/2023,Citi Field
718403,4/27/2023,PNC Park
718405,4/27/2023,Comerica Park
718395,4/28/2023,Fenway Park
718399,4/28/2023,Nationals Park
718388,4/28/2023,Globe Life Field
718401,4/28/2023,Comerica Park
718390,4/28/2023,Coors Field
718394,4/28/2023,Citi Field
718380,4/28/2023,Oakland Coliseum
718391,4/28/2023,loanDepot park
718392,4/28/2023,Rogers Centre
718382,4/28/2023,Dodger Stadium
718393,4/28/2023,Guaranteed Rate Field
718387,4/28/2023,Target Field
718389,4/28/2023,Minute Maid Park
718386,4/28/2023,American Family Field
718374,4/29/2023,Globe Life Field
718369,4/29/2023,Dodger Stadium
718385,4/29/2023,Fenway Park
718378,4/29/2023,Target Field
718384,4/29/2023,Petco Park
718383,4/29/2023,Nationals Park
718401,4/29/2023,Comerica Park
718377,4/29/2023,Oakland Coliseum
718381,4/29/2023,Comerica Park
718379,4/29/2023,Rogers Centre
718376,4/29/2023,American Family Field
718375,4/29/2023,loanDepot park
718366,4/29/2023,Coors Field
718371,4/29/2023,Citi Field
718373,4/29/2023,Guaranteed Rate Field
718399,4/29/2023,Nationals Park
718372,4/29/2023,Minute Maid Park
718370,4/30/2023,Fenway Park
718356,4/30/2023,Globe Life Field
718364,4/30/2023,loanDepot park
718359,4/30/2023,Dodger Stadium
718363,4/30/2023,Rogers Centre
718367,4/30/2023,Nationals Park
718368,4/30/2023,Petco Park
718362,4/30/2023,Target Field
718360,4/30/2023,Comerica Park
718357,4/30/2023,Oakland Coliseum
718365,4/30/2023,American Family Field
718361,4/30/2023,Citi Field
718355,4/30/2023,Guaranteed Rate Field
718358,4/30/2023,Coors Field
718354,4/30/2023,Minute Maid Park
718345,5/1/2023,Petco Park
718353,5/1/2023,Fenway Park
718352,5/1/2023,Citi Field
718361,5/1/2023,Citi Field
718351,5/1/2023,Yankee Stadium
718343,5/1/2023,Dodger Stadium
718349,5/1/2023,Nationals Park
718350,5/1/2023,Minute Maid Park
718331,5/2/2023,Dodger Stadium
718336,5/2/2023,Kauffman Stadium
718338,5/2/2023,Busch Stadium
718344,5/2/2023,Nationals Park
718340,5/2/2023,Guaranteed Rate Field
718334,5/2/2023,Coors Field
718335,5/2/2023,Petco Park
718346,5/2/2023,loanDepot park
718347,5/2/2023,Tropicana Field
718337,5/2/2023,Minute Maid Park
718339,5/2/2023,Yankee Stadium
718341,5/2/2023,Fenway Park
718348,5/2/2023,Comerica Park
718332,5/2/2023,Oakland Coliseum
718342,5/2/2023,Globe Life Field
718319,5/3/2023,Oakland Coliseum
718329,5/3/2023,Comerica Park
718333,5/3/2023,Nationals Park
718348,5/3/2023,Comerica Park
718315,5/3/2023,Coors Field
718320,5/3/2023,Busch Stadium
718314,5/3/2023,Kauffman Stadium
718327,5/3/2023,Dodger Stadium
718323,5/3/2023,Fenway Park
718324,5/3/2023,Yankee Stadium
718330,5/3/2023,Petco Park
718321,5/3/2023,loanDepot park
718325,5/3/2023,Globe Life Field
718328,5/3/2023,Tropicana Field
718326,5/3/2023,Minute Maid Park
718322,5/3/2023,Guaranteed Rate Field
718312,5/4/2023,Kauffman Stadium
718313,5/4/2023,Coors Field
718310,5/4/2023,Guaranteed Rate Field
718317,5/4/2023,Nationals Park
718308,5/4/2023,loanDepot park
718304,5/4/2023,Oakland Coliseum
718311,5/4/2023,Busch Stadium
718318,5/4/2023,Comerica Park
718309,5/4/2023,Tropicana Field
718316,5/4/2023,Fenway Park
718296,5/5/2023,Chase Field
718305,5/5/2023,Great American Ball Park
718294,5/5/2023,Angel Stadium
718292,5/5/2023,Busch Stadium
718295,5/5/2023,Petco Park
718299,5/5/2023,Kauffman Stadium
718301,5/5/2023,Citizens Bank Park
718303,5/5/2023,Wrigley Field
718297,5/5/2023,T-Mobile Park
718307,5/5/2023,PNC Park
718300,5/5/2023,Tropicana Field
718302,5/5/2023,Citi Field
718306,5/5/2023,Progressive Field
718293,5/5/2023,Oracle Park
718298,5/5/2023,Truist Park
718280,5/6/2023,Kauffman Stadium
718281,5/6/2023,Great American Ball Park
718274,5/6/2023,T-Mobile Park
718283,5/6/2023,Truist Park
718286,5/6/2023,PNC Park
718275,5/6/2023,Angel Stadium
718279,5/6/2023,Petco Park
718287,5/6/2023,Oracle Park
718290,5/6/2023,Citi Field
718284,5/6/2023,Citizens Bank Park
718291,5/6/2023,Tropicana Field
718289,5/6/2023,Wrigley Field
718285,5/6/2023,Progressive Field
718282,5/6/2023,Chase Field
718288,5/6/2023,Busch Stadium
718271,5/7/2023,Tropicana Field
718263,5/7/2023,Chase Field
718277,5/7/2023,Truist Park
718272,5/7/2023,Busch Stadium
718273,5/7/2023,Progressive Field
718265,5/7/2023,T-Mobile Park
718268,5/7/2023,Kauffman Stadium
718264,5/7/2023,Angel Stadium
718270,5/7/2023,Citizens Bank Park
718269,5/7/2023,Wrigley Field
718267,5/7/2023,Oracle Park
718278,5/7/2023,PNC Park
718266,5/7/2023,Petco Park
718276,5/7/2023,Citi Field
718262,5/7/2023,Great American Ball Park
718255,5/8/2023,Yankee Stadium
718261,5/8/2023,Progressive Field
718249,5/8/2023,Chase Field
718256,5/8/2023,Wrigley Field
718259,5/8/2023,Oriole Park at Camden Yards
718260,5/8/2023,Oracle Park
718251,5/8/2023,T-Mobile Park
718253,5/8/2023,Kauffman Stadium
718257,5/8/2023,American Family Field
718258,5/8/2023,PNC Park
718254,5/8/2023,Angel Stadium
718236,5/9/2023,Chase Field
718247,5/9/2023,Yankee Stadium
718239,5/9/2023,T-Mobile Park
718237,5/9/2023,Angel Stadium
718241,5/9/2023,American Family Field
718248,5/9/2023,Progressive Field
718246,5/9/2023,Oriole Park at Camden Yards
718240,5/9/2023,Wrigley Field
718245,5/9/2023,Truist Park
718243,5/9/2023,Great American Ball Park
718242,5/9/2023,Target Field
